ORIGINAL,TRANSLATED
"For any generator $p = (a, b)$ in $\alpha \times \text{Bool}$, there is no one-step reduction from the singleton word $[p]$ to any other word $L$ in the free group construction.","Let \(X\) be a CW–complex, let \(x \in X\) be a 0–cell, and let \(\alpha, \beta \in \pi_1(X,x)\) be distinct and have infinite order.

There exists a covering space \(p \colon (\widetilde{X}, \tilde{x}_0) \to (X,x)\) corresponding to the normal closure of  
\(\alpha\beta\alpha^{-1}\beta^{-1}\) in \(\pi_1(X,x)\); moreover, every loop representing a meridianal generator of \(\pi_1 (X, x)\) lifts to a closed loop in the cover."
The multiplicative equivalence (group isomorphism) between a free group $G$ and the free group generated by its set of generators $\text{Generators}(G)$. This isomorphism demonstrates that any free group is isomorphic to the free group constructed from its generators.,"**Theorem.**  
Let \((X,x_0)\) be a pointed connected CW‑complex whose fundamental group is a free group, let \(T \subset X\) be a maximal tree in the 1‑skeleton of the universal covering space \(\tilde{X}\), and let \(\mathcal A\) be the set of oriented 1‑cells of the 1‑skeleton not in \(T\). Then the fundamental group \(\pi_1(X, x_0)\) is isomorphic to \(F(\mathcal{A})\), the free group on the set \(\mathcal A\)."
"Given a group isomorphism $e \colon G \cong H$, if $G$ is a free group, then $H$ is also a free group.","Let \(g: Z \to Z\) be the map \(g(z) = z^{-1}\). If \(C\) is a free group, \(e\) is trivial, and \(\pi_1(X, x_0)\) is free, then \(H \cong \pi_1(X, x_0)\) is also free."
"For any function $f \colon \alpha \to \beta$ and any element $x$ in the free group over $\alpha$, the homomorphism $\text{map}\ f$ applied to $x$ equals the homomorphism $\text{lift}\ (\text{of} \circ f)$ applied to $x$. That is, $\text{map}\ f\ x = \text{lift}\ (\text{of} \circ f)\ x$.","Given a space \(X\) with universal cover \(\tilde{X}\) and a continuous map \(f \colon Z \to X\) with \(Z\) path-connected and \(f_\ast(Z) \subset \pi_1(X, x_0)\) a trivial normal subgroup, the homomorphism \(f_*\) factors through the abelianization map \({\check{f}}: Z \to H_1(X;\mathbb{Z})\)."
"For any two lists $L_1$ and $L_2$ representing words in the free group, if $L_1$ reduces to $L_2$ under the reflexive-transitive closure of the one-step reduction relation, then the length of $L_2$ is less than or equal to the length of $L_1$.","Let \((X,x_0)\) be a pointed topological space with a strong deformation retraction to a point, let \(\alpha, \beta\) be reduced edge-paths in the  1-skeleton representing elements \(g, h\) of \(\pi_1(X, x_0)\), and suppose there exists a sequence of 1-dimensional homotopies relative to the 0-skeleton deforming the reduced word for \(g\) onto that for \(h\). Then the length of the word for  \(g\) is greater than or equal to the length of the word for \(h\)."
"For any generator $x$ in the free group construction, the word $[x]$ reduces to another word $L₁$ if and only if $L₁$ is equal to $[x]$.","The Seifert–van Kampen theorem together with the classification of covering spaces implies: If \(X\) is a path-connected, locally path-connected and semi-locally simply-connected space with a universal cover and with \(X = U_1 \cup U_2\) for open, path-connected \(U_1, U_2, U_1 \cap U_2\) all containing a common basepoint and \(U_1\), \(U_1 \cap U_2\) are simply connected, and \(U_2\) has fundamental group \(F_S\) on a set \(S\) of free generators, then for any generator \(s \in S\), the homomorphism induced by the continuous maps  
\[\psi \colon \pi_1(U_1) \to \pi_1(X) \to \pi_1(X)/\langle \!\langle R\rangle\! \rangle \quad \text{(no additional relations)}\]
sends each generator \(s\) to a non-trivial element, represented by a unique reduced word \(L_{R^{n}}\)"
"For any words $L_1, L_2, L_3$ in the free group (represented as lists of pairs $(a, b)$ where $a$ is a generator and $b$ indicates inversion), if $L_1$ reduces to $L_2$ and $L_1$ reduces to $L_3$ under the reflexive-transitive closure of the free group reduction relation, then there exists a word $L_4$ such that both $L_2$ and $L_3$ reduce to $L_4$.","Let **X** be a based space with basis \(\{x\}\) and let \(F = \pi_{1}(X, x)\). For any group presentation \(\langle S, R \rangle\) of \(F\), the set of relators \(R\) is a subset of the free group \(F(S)\).

For any two reduced words \( w, w' \) in the free group on a generating set \(S\), if two sequences of free reductions starting from the same word \(w\) yield distinct normal forms \(\gamma_1, \gamma_2\) in \(F\), their images under the quotient map \(F(S) \to F(S)/\langle \! \langle R \rangle \! \rangle\) coincide. There exists a word \(w_4\) such that both sequences freely reduce to \(w_4\)."
"Given a free group basis $b \colon \iota \to G$ for a group $G$, the group $G$ is a free group. That is, there exists an isomorphism between $G$ and the free group generated by $\iota$.","Given a finite graph $X$, if $p \colon E \to X$ is a finite regular covering of path-connected CW-complexes such that the monodromy action of $\pi_1(X, x_0)$ is faithful and the image of $p_* \pi_1(E, \tilde{x}_0)$ in $\pi_1(X, x_0)$ is a free factor, then its group of deck transformations, $\text{Deck}(p)$, is a free group."
"Given a word $L₁$ in the free group represented as a list of pairs $(a, b)$ where $a$ is a generator and $b$ indicates inversion, the function returns the list of all words $L₂$ that can be obtained by reducing $L₁$ through cancellation of adjacent inverses. Specifically, it filters the sublists of $L₁$ to those that are related to $L₁$ by the reflexive-transitive closure of the one-step reduction relation.","**Assumptions:**

- Let \( X \) be a graph with a maximal tree \(T\) and with set of (oriented) edges \(E^+\). The fundamental group \(\pi_1(X)\) is the free group on the chords \(e_1, \dots, e_m\).

**Theorem:**  
Given a reduced word \(w\) in the free group, every list of edges obtained from a cycle in \(X\) realizing \(w\) as a path has normal form length at most the word length, and the set of reduced words obtained by cancellation in all possible orders is the set of all cyclic permutations of cyclically reduced forms of words representing the same element in \(\pi_1(X, v_0)\) as \(w\)."
"For any two words $L₁$ and $L₂$ in a free group, if $L₁$ reduces to $L₂$ (denoted $L₁ \sim L₂$), then $L₁$ also reduces to the maximal reduction of $L₂$ (denoted $L₁ \sim \mathrm{reduce}(L₂)$).","Let Free \( F_S \) be the fundamental group of a wedge of circles \(\bigvee_S S^1\), with \( S \) in bijection with the generators of a free group \( F(S) \).  

Let \(\gamma_1, \gamma_2\) be loops in \(\bigvee_S S^1\), viewed as reduced words in \(\pi_1(\bigvee S^1, x_0) \cong F(S)\).  

**Theorem.**  
If \(\gamma_1\) is homotopic (rel basepoint) to \(\gamma_2\),  
then \(\gamma_1\) is homotopic to the unique reduced loop in the same homotopy class as \(\gamma_2\)."
